,Device:,Circuit ID:,ifName:,snmpIndex:,Read Community:,Device Type:
,irt01.jfk3 (10.65.255.5),GW18NYC9,TenGigE0/0/0/2,34,5CardStud,ASR9K ASR-9001
,irt02.jfk3 (10.65.255.6),GW13NYC1,TenGigE0/0/0/2,34,5CardStud,ASR9K ASR-9001
,,,,,,
RDU1,rtpnc-edg-0301.bossnet.mlb.org (10.77.255.1),26/KRGN/401206,GigabitEthernet0/0/0,1,5CardStud,ISR4451-X/K9
,rtpnc-edg-0302.bossnet.mlb.org (10.77.255.2),BBSH45303,GigabitEthernet0/0/0,1,5CardStud,ISR4451-X/K9
,,,,,,
MD6,md6rt0101 (10.41.255.12),BBRN97556/BDGF9870,GigabitEthernet0/0,1,5CardStud,Cisco CISCO3925-CHASSIS
,md6rt41 (10.41.255.5),BBPH66615,TenGigabitEthernet3/1,51,5CardStud,Cisco CISCO7604
,md6rs31 (10.41.255.6),BDBL5752,Eth1/9,436211712,5CardStud,Nexus9000 C9372PX
,md6rs31 (10.41.255.6),BCYT3457,Eth1/10,436212224,5CardStud,Nexus9000 C9372PX
,md6rs32 (10.41.255.7),BCZD1791,Eth1/9,436211712,5CardStud,Nexus9000 C9372PX
,md6rs32 (10.41.255.7),BDBH1925,Eth1/10,436212224,5CardStud,Nexus9000 C9372PX
,,,,,,
JFK1,wrt01.jfk1 (10.39.255.1),BDHX7747,Eth1/1,436207616,5CardStud,Nexus9000 93180YC-EX
,wrt01.jfk1 (10.39.255.1),BDJJ3888,Eth1/2,436208128,5CardStud,Nexus9000 93180YC-EX
,wrt02.jfk1 (10.39.255.2),OGYX/143172//ZYO,Eth1/1,436207616,5CardStud,Nexus9000 93180YC-EX
,wrt02.jfk1 (10.39.255.2),BDJJ3889,Eth1/2,436208128,5CardStud,Nexus9000 93180YC-EX
,,,,,,
BDL1,cs01.bdl1 (10.48.255.1),BDKN7763,Eth1/45,436230144,5CardStud,Nexus9000 93180YC-EX
,cs01.bdl1 (10.48.255.1),BDKN7764,Eth1/46,436230656,5CardStud,Nexus9000 93180YC-EX
,cs01.bdl1 (10.48.255.1),BDKF7011,Eth1/47,436231168,5CardStud,Nexus9000 93180YC-EX
,cs02.bdl1 (10.48.255.2),BDKN7761,Eth1/45,436230144,5CardStud,Nexus9000 93180YC-EX
,cs02.bdl1 (10.48.255.2),BDKN7762,Eth1/46,436230656,5CardStud,Nexus9000 93180YC-EX
,cs02.bdl1 (10.48.255.2),BDKF7012,Eth1/47,436231168,5CardStud,Nexus9000 93180YC-EX
,,,,,,
JFK2,wrt01.jfk2 (10.82.255.1),BCKB1258,Eth1/1,436207616,5CardStud,Nexus9000 93180YC-EX
